forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
0;32;1536;1;0;1;60;32;131072;write;79.53709;947.90625;11.91779
0;16;192;1;1;1;60;4096;131072;write;68.63929;5784.0;84.26661
0;16;192;1;1;1;60;4096;131072;write;66.1569;6700.0;101.27439
0;32;1536;1;0;1;60;512;131072;write;103.26704;2178.5;21.09579
0;8;192;1;1;1;60;8192;131072;write;68.04461;8568.0;125.91739
0;8;192;1;1;1;60;8192;131072;write;70.26557;10392.0;147.89604
0;32;384;1;0;1;60;6144;131072;write;84.53384;10500.0;124.21061
0;32;384;1;0;1;60;6144;131072;write;64.3788;8940.0;138.86559
0;8;384;1;0;1;60;1024;131072;write;63.82222;5018.0;78.62466
0;8;96;1;0;1;60;8192;131072;write;65.09013;10064.0;154.61638
0;8;96;1;0;1;60;8192;131072;write;65.12659;10200.0;156.61807
0;16;192;0;0;1;60;1024;131072;write;60.57574;14346.0;236.82747
0;16;192;0;0;1;60;1024;131072;write;60.03764;130901.0;2180.3157
0;8;96;1;1;1;60;512;131072;write;61.26553;1446.5;23.61034
0;8;96;1;1;1;60;512;131072;write;61.13079;2357.0;38.55667
0;32;768;0;0;1;60;128;131072;write;36.86609;131040.0;3554.48632
0;32;768;0;0;1;60;128;131072;write;60.42631;9193.25;152.13984
0;8;384;1;0;1;60;512;131072;write;64.58814;3125.0;48.3835
0;8;384;0;0;1;60;1024;131072;write;61.14038;130923.0;2141.35088
0;16;384;1;0;1;60;512;131072;write;63.15896;3686.0;58.36069
0;16;384;1;0;1;60;512;131072;write;65.93316;4015.5;60.90259
0;32;768;1;1;1;60;1024;131072;write;77.93851;2954.0;37.90167
0;32;768;1;1;1;60;1024;131072;write;62.48372;4557.0;72.931
0;16;192;1;1;1;60;8192;131072;write;66.17347;11272.0;170.34018
0;16;192;1;1;1;60;8192;131072;write;68.76083;10104.0;146.94413
0;8;384;1;1;1;60;512;131072;write;63.96304;3051.0;47.69942
0;32;768;0;0;1;60;32;131072;write;60.20712;3880.9375;64.45977
0;32;768;0;0;1;60;32;131072;write;39.5542;131064.0;3313.52905
0;16;384;0;0;1;60;128;131072;write;60.12653;24757.5;411.7567
0;16;384;0;0;1;60;128;131072;write;31.56697;131040.0;4151.17501
0;32;768;1;1;1;60;6144;131072;write;75.9942;9216.0;121.27242
0;32;768;1;1;1;60;6144;131072;write;104.14722;13158.0;126.34038
0;8;96;1;1;1;60;4096;131072;write;62.63439;4392.0;70.12122
0;8;96;1;1;1;60;4096;131072;write;62.75076;11192.0;178.35639
0;32;1536;0;0;1;60;8192;131072;write;4.50502;122880.0;27276.22416
0;16;384;1;0;1;60;4096;131072;write;69.41004;7476.0;107.70776
0;16;384;1;0;1;60;4096;131072;write;73.87204;9108.0;123.29429
0;16;384;1;0;1;60;32;131072;write;60.6541;9416.40625;155.24766
0;16;384;1;0;1;60;32;131072;write;60.04597;4899.0625;81.58854
0;8;384;1;0;1;60;4096;131072;write;74.12448;7372.0;99.45432
0;32;1536;1;0;1;60;4096;131072;write;119.66677;13420.0;112.14475
0;32;1536;1;0;1;60;6144;131072;write;141.89833;17544.0;123.63782
0;16;768;1;0;1;60;128;131072;write;60.85918;6414.125;105.39288
0;16;384;1;0;1;60;6144;131072;write;83.75732;9690.0;115.69138
0;16;384;1;0;1;60;6144;131072;write;84.08327;13566.0;161.34006
0;8;192;1;1;1;60;512;131072;write;62.9542;1855.5;29.47381
0;8;192;1;1;1;60;512;131072;write;61.43604;2578.5;41.97048
0;8;192;1;0;1;60;6144;131072;write;69.11556;6498.0;94.01646
0;8;192;1;0;1;60;6144;131072;write;74.05788;7548.0;101.92028
0;8;192;1;0;1;60;128;131072;write;60.27448;7645.375;126.84266
0;8;192;1;0;1;60;128;131072;write;60.33357;13843.25;229.44522
0;32;768;1;0;1;60;6144;131072;write;96.59895;9216.0;95.40476
0;32;768;1;0;1;60;6144;131072;write;104.18975;12762.0;122.48806
0;32;768;1;0;1;60;128;131072;write;61.98472;7474.125;120.58013
0;32;768;1;0;1;60;128;131072;write;60.26182;4244.0;70.42601
0;16;768;0;0;1;60;1024;131072;write;19.41683;130560.0;6724.06215
0;8;384;0;0;1;60;128;131072;write;29.24378;131040.0;4480.95286
0;32;384;1;0;1;60;128;131072;write;61.50071;10626.75;172.79068
0;32;384;1;0;1;60;128;131072;write;60.14588;8194.875;136.24999
0;16;384;1;0;1;60;8192;131072;write;67.71605;21104.0;311.65432
0;16;384;1;0;1;60;8192;131072;write;77.91525;12856.0;164.99979
0;32;384;1;0;1;60;6144;131072;write;84.59019;9084.0;107.38834
0;32;384;1;0;1;60;6144;131072;write;61.40029;11430.0;186.15546
0;16;192;0;0;1;60;32;131072;write;52.25685;131070.0;2508.18795
0;16;192;0;0;1;60;32;131072;write;60.01637;12947.875;215.73906
0;32;768;1;0;1;60;4096;131072;write;89.88546;8956.0;99.63792
0;32;768;1;0;1;60;4096;131072;write;77.33571;9216.0;119.16875
0;32;384;0;0;1;60;8192;131072;write;61.47578;50064.0;814.36946
0;32;384;0;0;1;60;8192;131072;write;9.83304;129024.0;13121.47164
0;32;768;1;1;1;60;1024;131072;write;62.13116;5261.0;84.6757
0;32;768;1;1;1;60;1024;131072;write;81.01909;3108.0;38.36133
0;16;384;1;1;1;60;8192;131072;write;80.207;12568.0;156.69455
0;16;384;1;1;1;60;8192;131072;write;65.40758;9248.0;141.39034
0;32;1536;1;1;1;60;8192;131072;write;138.90721;24728.0;178.01812
0;16;384;1;0;1;60;128;131072;write;60.22165;9244.75;153.51207
0;16;384;1;0;1;60;128;131072;write;60.7333;13579.75;223.59643
0;32;384;0;0;1;60;6144;131072;write;11.41088;129024.0;11307.104
0;32;384;0;0;1;60;6144;131072;write;61.11394;38544.0;630.69085
0;32;384;0;0;1;60;1024;131072;write;50.56308;130944.0;2589.71591
0;32;384;0;0;1;60;1024;131072;write;61.18147;10977.0;179.41708
0;32;768;0;0;1;60;512;131072;write;31.52348;130944.0;4153.85612
0;32;768;0;0;1;60;512;131072;write;94.0993;4540.0;48.24691
0;16;768;1;0;1;60;512;131072;write;68.57577;3086.0;45.00132
0;16;768;1;0;1;60;8192;131072;write;94.64864;16536.0;174.70933
0;16;384;1;1;1;60;1024;131072;write;71.181;1945.0;27.32471
0;16;384;1;1;1;60;1024;131072;write;61.36426;4856.0;79.13401
0;16;192;1;1;1;60;128;131072;write;60.16847;9002.125;149.61532
0;16;192;1;1;1;60;128;131072;write;60.0439;11075.875;184.46295
0;16;384;1;1;1;60;128;131072;write;60.3124;10269.5;170.27179
0;16;384;1;1;1;60;128;131072;write;60.22907;9834.5;163.28495
0;8;384;0;0;1;60;1024;131072;write;45.50731;130944.0;2877.42804
0;8;384;1;0;1;60;4096;131072;write;73.59384;7680.0;104.35656
0;8;384;1;0;1;60;8192;131072;write;77.62302;13304.0;171.39246
0;16;768;1;1;1;60;128;131072;write;60.43741;10201.25;168.79032
0;16;384;1;0;1;60;4096;131072;write;66.41983;6068.0;91.35825
0;16;384;1;0;1;60;4096;131072;write;74.41768;9232.0;124.05654
0;32;1536;1;1;1;60;512;131072;write;95.25869;3165.0;33.22531
0;8;384;1;1;1;60;512;131072;write;65.13756;1631.5;25.04699
0;16;384;1;0;1;60;32;131072;write;60.4531;9946.5625;164.53353
0;16;384;1;0;1;60;32;131072;write;60.16716;4685.65625;77.8773
0;8;96;1;1;1;60;4096;131072;write;63.85534;5876.0;92.02049
0;8;96;1;1;1;60;4096;131072;write;61.72173;3736.0;60.52974
0;32;384;0;0;1;60;128;131072;write;39.29339;131040.0;3334.91228
