forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
4;32;1536;0;0;1;60;4096;131072;write;62.05568;128068.0;2063.75944
8;32;1536;1;0;1;60;8192;131072;write;86.68906;26728.0;308.32033
1;32;1536;1;0;1;60;32;131072;write;60.1537;2643.875;43.952
4;32;1536;1;0;1;60;1024;131072;write;67.11877;4174.0;62.18827
8;32;768;1;1;1;60;6144;131072;write;80.88758;8484.0;104.88631
2;8;96;1;1;1;60;128;131072;write;60.07517;6595.625;109.78953
8;16;768;1;1;1;60;6144;131072;write;84.81131;11640.0;137.24584
2;16;192;0;0;1;60;32;131072;write;60.05014;6845.0;113.98808
4;16;192;1;0;1;60;6144;131072;write;66.64036;7200.0;108.04264
2;32;384;0;0;1;60;6144;131072;write;61.17858;86574.0;1415.10314
4;16;384;0;0;1;60;128;131072;write;60.20183;65251.375;1083.87702
8;16;192;1;0;1;60;6144;131072;write;67.56234;7734.0;114.47205
1;16;192;1;1;1;60;4096;131072;write;65.6598;6344.0;96.61925
4;16;768;1;1;1;60;8192;131072;write;86.83237;16336.0;188.13261
2;32;768;1;1;1;60;4096;131072;write;76.94619;10572.0;137.39473
8;8;384;1;0;1;60;512;131072;write;61.9297;4140.0;66.85
1;32;1536;1;0;1;60;512;131072;write;62.08175;802.0;12.91845
4;8;96;0;0;1;60;4096;131072;write;51.44243;130944.0;2545.4474
4;16;384;0;0;1;60;6144;131072;write;45.05157;129024.0;2863.91797
4;8;192;1;0;1;60;32;131072;write;60.5618;4655.75;76.87601
2;8;192;1;0;1;60;8192;131072;write;64.82286;12808.0;197.58463
2;32;768;0;0;1;60;1024;131072;write;60.72876;27164.0;447.30044
2;32;768;1;0;1;60;128;131072;write;60.63819;12866.75;212.1889
2;32;1536;1;0;1;60;512;131072;write;62.23909;3466.5;55.69651
8;32;384;1;1;1;60;8192;131072;write;74.76766;10888.0;145.62446
4;8;192;1;0;1;60;512;131072;write;61.20708;5029.0;82.1637
2;8;192;0;0;1;60;1024;131072;write;60.34431;30122.0;499.16889
8;8;96;1;1;1;60;8192;131072;write;64.95043;9104.0;140.16843
2;32;768;1;1;1;60;32;131072;write;60.11503;10157.53125;168.96824
1;8;192;1;1;1;60;8192;131072;write;65.71406;8344.0;126.97434
1;32;384;1;0;1;60;6144;131072;write;76.24743;13596.0;178.3142
1;8;384;1;0;1;60;1024;131072;write;61.05559;4864.0;79.66511
8;32;384;1;1;1;60;4096;131072;write;72.17615;6364.0;88.17317
2;8;192;1;0;1;60;512;131072;write;61.14594;6601.5;107.96301
1;8;96;1;0;1;60;8192;131072;write;63.73428;9240.0;144.97693
8;8;96;1;1;1;60;512;131072;write;62.12784;1945.5;31.31447
4;32;384;1;1;1;60;128;131072;write;60.13072;16978.625;282.36192
1;16;192;0;0;1;60;1024;131072;write;60.5254;15118.0;249.77943
2;32;768;1;1;1;60;1024;131072;write;66.10748;7084.0;107.15883
4;8;384;0;0;1;60;1024;131072;write;60.35764;57983.0;960.65716
1;8;96;1;1;1;60;512;131072;write;60.93784;1758.5;28.85728
2;8;96;1;0;1;60;8192;131072;write;62.73563;12584.0;200.58778
4;8;384;1;1;1;60;4096;131072;write;71.40048;7456.0;104.42507
8;32;384;1;0;1;60;32;131072;write;60.38415;8032.34375;133.02072
1;32;768;0;0;1;60;128;131072;write;77.30199;12355.875;159.83903
8;32;768;1;1;1;60;128;131072;write;60.42454;15111.0;250.08051
1;8;384;1;0;1;60;512;131072;write;62.14182;3650.5;58.74466
1;8;384;0;0;1;60;1024;131072;write;61.15513;12648.0;206.8183
2;8;192;1;1;1;60;4096;131072;write;64.20782;9320.0;145.15366
2;16;384;1;1;1;60;1024;131072;write;63.7787;5150.0;80.74796
1;16;384;1;0;1;60;512;131072;write;63.27104;3158.5;49.92015
8;16;192;0;0;1;60;6144;131072;write;26.60214;130176.0;4893.44067
8;16;192;1;0;1;60;4096;131072;write;66.90584;7940.0;118.67424
2;16;384;1;1;1;60;8192;131072;write;69.09994;13168.0;190.56456
4;32;768;1;0;1;60;512;131072;write;63.24289;2616.5;41.37224
2;16;192;0;0;1;60;512;131072;write;60.2715;18257.0;302.91266
8;32;1536;1;0;1;60;6144;131072;write;84.82666;15618.0;184.11663
8;16;384;1;0;1;60;32;131072;write;60.28442;3060.625;50.76975
1;32;768;1;1;1;60;1024;131072;write;63.11387;5325.0;84.37131
2;8;96;0;0;1;60;32;131072;write;60.00715;28842.5625;480.6521
2;32;384;1;1;1;60;512;131072;write;65.30761;2664.5;40.79923
2;32;1536;0;0;1;60;128;131072;write;60.16239;45088.875;749.4529
4;32;384;1;1;1;60;1024;131072;write;64.51416;2701.0;41.86678
4;8;384;0;0;1;60;32;131072;write;60.01146;52997.625;883.12501
1;16;192;1;1;1;60;8192;131072;write;68.58406;9120.0;132.97551
4;32;768;0;0;1;60;128;131072;write;57.42639;131040.0;2281.87787
8;16;384;1;1;1;60;512;131072;write;65.54573;1263.5;19.27662
8;8;96;1;1;1;60;4096;131072;write;65.36573;5988.0;91.60764
4;16;768;0;0;1;60;128;131072;write;53.65545;131040.0;2442.24936
2;32;384;1;0;1;60;1024;131072;write;61.57764;6587.0;106.97064
8;8;192;0;0;1;60;32;131072;write;60.0599;105995.78125;1764.83446
1;8;384;1;1;1;60;512;131072;write;61.97954;2973.0;47.96744
2;32;384;1;0;1;60;4096;131072;write;66.4151;10768.0;162.13182
2;32;384;0;0;1;60;8192;131072;write;61.06942;121848.0;1995.23753
2;8;96;1;0;1;60;32;131072;write;60.02374;16335.8125;272.15586
1;32;768;0;0;1;60;32;131072;write;60.0822;8390.5;139.65034
1;16;384;0;0;1;60;128;131072;write;60.04223;15467.875;257.61661
2;16;768;1;1;1;60;6144;131072;write;81.97963;13668.0;166.72435
8;16;768;0;0;1;60;512;131072;write;60.33285;63477.0;1052.11345
4;8;192;0;0;1;60;4096;131072;write;55.03039;130560.0;2372.50743
2;16;384;1;1;1;60;6144;131072;write;68.18648;12354.0;181.1796
8;16;192;1;1;1;60;32;131072;write;60.04909;5139.34375;85.58571
1;32;768;1;1;1;60;6144;131072;write;65.04888;9306.0;143.06164
4;32;1536;0;0;1;60;512;131072;write;61.27172;27022.0;441.0191
4;32;768;1;0;1;60;32;131072;write;60.30837;7656.71875;126.95947
4;16;384;1;1;1;60;8192;131072;write;72.48386;11600.0;160.03562
2;32;768;0;0;1;60;32;131072;write;60.04339;21291.15625;354.59616
1;8;96;1;1;1;60;4096;131072;write;63.85492;5364.0;84.00293
4;32;768;0;0;1;60;6144;131072;write;52.64333;129024.0;2450.90855
4;8;96;0;0;1;60;1024;131072;write;60.11737;61600.0;1024.66224
1;32;1536;0;0;1;60;8192;131072;write;65.77561;36864.0;560.45089
1;16;384;1;0;1;60;4096;131072;write;67.08823;7560.0;112.68742
4;8;96;0;0;1;60;32;131072;write;60.06597;56800.34375;945.63264
8;32;768;0;0;1;60;1024;131072;write;60.34926;114684.0;1900.33812
8;16;384;1;0;1;60;1024;131072;write;62.42172;5150.0;82.50333
2;8;192;0;0;1;60;128;131072;write;60.04623;80995.125;1348.87942
1;16;384;1;0;1;60;32;131072;write;60.12593;5374.90625;89.39414
4;32;768;0;0;1;60;4096;131072;write;61.15512;127980.0;2092.71128
8;16;384;1;1;1;60;4096;131072;write;71.11767;6148.0;86.44827
1;8;384;1;0;1;60;4096;131072;write;65.66272;7572.0;115.31657
8;16;384;0;0;1;60;512;131072;write;60.28104;37404.0;620.49356
2;8;192;0;0;1;60;512;131072;write;60.32341;14352.0;237.91757
1;32;1536;1;0;1;60;4096;131072;write;67.12288;6412.0;95.52629
8;32;1536;1;1;1;60;4096;131072;write;91.18199;12048.0;132.13135
4;8;192;1;1;1;60;1024;131072;write;61.99885;3495.0;56.37201
2;8;96;0;0;1;60;6144;131072;write;60.3478;73926.0;1224.99903
2;8;192;1;0;1;60;8192;131072;write;67.14386;10448.0;155.6062
8;16;192;1;0;1;60;8192;131072;write;68.1324;7944.0;116.59651
1;32;1536;1;0;1;60;6144;131072;write;86.8939;9522.0;109.58191
2;32;1536;1;1;1;60;32;131072;write;60.36408;8575.53125;142.06348
1;16;768;1;0;1;60;128;131072;write;60.29598;4506.125;74.73342
2;8;192;1;0;1;60;32;131072;write;60.07808;7300.90625;121.52363
4;8;192;1;0;1;60;6144;131072;write;69.58356;7308.0;105.02481
1;16;384;1;0;1;60;6144;131072;write;61.90818;9072.0;146.53959
1;8;192;1;1;1;60;512;131072;write;61.34796;1456.0;23.73347
4;32;1536;1;1;1;60;32;131072;write;60.25907;10899.53125;180.87786
4;8;192;1;1;1;60;128;131072;write;60.10642;11198.625;186.31328
1;8;192;1;0;1;60;6144;131072;write;70.76073;5946.0;84.02966
2;8;384;1;1;1;60;128;131072;write;60.09133;12076.25;200.96493
1;8;192;1;0;1;60;128;131072;write;60.03476;7956.5;132.53155
2;32;384;0;0;1;60;6144;131072;write;61.13111;74076.0;1211.75614
4;32;768;1;0;1;60;6144;131072;write;90.17523;10950.0;121.43024
2;32;384;0;0;1;60;32;131072;write;60.02833;16048.1875;267.34357
2;32;1536;1;0;1;60;512;131072;write;67.36138;1933.5;28.70339
4;32;384;1;1;1;60;128;131072;write;60.1913;13436.75;223.23407
2;16;384;1;1;1;60;4096;131072;write;68.37969;7384.0;107.98528
2;32;384;1;1;1;60;32;131072;write;60.12153;7252.375;120.62858
2;32;1536;0;0;1;60;4096;131072;write;62.7807;48956.0;779.79378
1;32;768;1;0;1;60;6144;131072;write;89.43545;9216.0;103.04639
2;8;192;1;0;1;60;1024;131072;write;61.09478;5462.0;89.40207
8;32;384;1;1;1;60;128;131072;write;60.13096;8241.625;137.06126
