forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
0;8;192;1;1;1;60;8192;16777216;write;61.63899;70160.0;1138.24067
0;8;384;1;0;1;60;4096;16777216;write;64.60076;53692.0;831.13578
0;32;1536;1;0;1;60;4096;16777216;write;73.49426;69232.0;942.00559
0;16;384;1;0;1;60;8192;16777216;write;64.66439;64632.0;999.49912
0;16;384;1;0;1;60;128;16777216;write;69.00687;2365.5;34.27919
0;16;192;1;1;1;60;128;16777216;write;64.28186;2434.625;37.87421
0;8;384;1;0;1;60;4096;16777216;write;66.86391;47492.0;710.2785
0;32;1536;1;1;1;60;512;16777216;write;76.98979;11972.0;155.50114
0;8;192;1;1;1;60;1024;16777216;write;65.47017;72717.0;1110.68897
0;32;768;1;0;1;60;1024;16777216;write;71.1772;50100.0;703.87709
0;8;96;1;1;1;60;6144;16777216;write;61.4322;28752.0;468.02819
0;8;96;0;0;1;60;8192;16777216;write;61.20228;50536.0;825.72084
0;32;1536;0;0;1;60;128;16777216;write;60.30554;54562.5;904.76755
0;32;768;1;0;1;60;8192;16777216;write;64.87221;81792.0;1260.8173
0;32;1536;1;0;1;60;1024;16777216;write;79.88132;36995.0;463.12454
0;32;1536;0;0;1;60;1024;16777216;write;63.97784;299235.0;4677.16635
0;16;192;1;1;1;60;128;16777216;write;61.91286;1851.75;29.90897
0;16;768;1;1;1;60;1024;16777216;write;63.40653;21113.0;332.9783
0;32;384;1;1;1;60;512;16777216;write;62.27971;26648.5;427.88417
0;8;96;1;0;1;60;512;16777216;write;60.53057;10568.5;174.59773
0;8;192;0;0;1;60;8192;16777216;write;61.03694;142488.0;2334.45511
0;8;96;1;0;1;60;512;16777216;write;60.5471;10130.0;167.30778
0;32;768;1;0;1;60;1024;16777216;write;68.75599;53967.0;784.90617
0;32;768;1;0;1;60;1024;16777216;write;64.83909;59602.0;919.22948
0;8;384;1;0;1;60;4096;16777216;write;64.37402;33000.0;512.62918
0;8;192;0;0;1;60;8192;16777216;write;62.39909;120168.0;1925.79718
0;8;96;1;0;1;60;512;16777216;write;62.97077;10567.0;167.80802
0;8;96;0;0;1;60;4096;16777216;write;61.82904;64492.0;1043.06967
0;32;1536;0;0;1;60;1024;16777216;write;61.36146;381881.0;6223.46646
0;8;96;1;1;1;60;6144;16777216;write;61.90144;34668.0;560.0516
0;8;192;1;1;1;60;8192;16777216;write;65.23891;48384.0;741.64332
0;32;384;1;1;1;60;4096;16777216;write;64.99089;84872.0;1305.90617
0;8;96;1;1;1;60;32;16777216;write;69.64889;551.21875;7.91425
0;8;192;1;1;1;60;1024;16777216;write;62.16418;64288.0;1034.16472
0;16;768;1;0;1;60;1024;16777216;write;66.37723;52049.0;784.1394
0;16;192;1;1;1;60;128;16777216;write;63.7673;1063.875;16.68371
0;16;768;0;0;1;60;128;16777216;write;62.37133;12442.625;199.4927
0;16;384;1;0;1;60;128;16777216;write;64.82606;2049.625;31.6173
0;8;96;1;1;1;60;6144;16777216;write;61.2818;62802.0;1024.80673
0;16;192;1;0;1;60;32;16777216;write;61.50803;1524.8125;24.79046
0;32;768;1;0;1;60;8192;16777216;write;66.35854;66280.0;998.81637
0;32;1536;1;0;1;60;4096;16777216;write;76.62299;50144.0;654.42498
0;8;96;0;0;1;60;8192;16777216;write;60.63021;105824.0;1745.40043
0;16;768;1;1;1;60;1024;16777216;write;64.16887;42393.0;660.6474
0;32;1536;0;0;1;60;128;16777216;write;63.55582;14520.875;228.47434
0;32;384;1;1;1;60;512;16777216;write;62.86362;30541.5;485.83747
0;32;1536;0;0;1;60;128;16777216;write;60.82881;85007.5;1397.48744
0;16;384;1;0;1;60;8192;16777216;write;68.10332;68192.0;1001.30219
0;8;192;0;0;1;60;8192;16777216;write;62.76432;46512.0;741.058
0;32;1536;1;1;1;60;512;16777216;write;84.46096;11014.0;130.40344
0;32;1536;1;0;1;60;1024;16777216;write;77.49491;63293.0;816.73747
0;32;384;1;1;1;60;512;16777216;write;61.99628;11599.0;187.09187
0;8;192;0;0;1;60;8192;16777216;write;60.64323;135576.0;2235.63284
0;8;96;0;0;1;60;8192;16777216;write;60.30717;124208.0;2059.58943
0;16;192;1;1;1;60;128;16777216;write;61.2169;2460.125;40.18702
0;16;192;1;0;1;60;32;16777216;write;60.27243;2721.75;45.15747
0;8;96;1;0;1;60;512;16777216;write;64.7184;7435.0;114.88231
0;32;384;1;1;1;60;4096;16777216;write;64.40632;87124.0;1352.72436
0;32;1536;1;0;1;60;4096;16777216;write;76.83092;63576.0;827.4793
0;32;768;1;0;1;60;1024;16777216;write;69.71778;54657.0;783.97505
0;16;384;1;0;1;60;128;16777216;write;64.76043;1713.0;26.45134
0;8;96;1;1;1;60;6144;16777216;write;61.2651;39102.0;638.24266
0;16;768;0;0;1;60;128;16777216;write;62.32602;6567.125;105.36731
0;8;192;1;1;1;60;1024;16777216;write;61.01089;61365.0;1005.80408
0;32;1536;0;0;1;60;1024;16777216;write;67.43166;180272.0;2673.40301
0;8;192;1;1;1;60;8192;16777216;write;61.41847;70544.0;1148.57952
0;32;1536;0;0;1;60;128;16777216;write;70.05682;11200.0;159.87023
0;8;96;1;1;1;60;32;16777216;write;60.60832;737.65625;12.17087
0;16;768;1;0;1;60;1024;16777216;write;74.16006;28435.0;383.42739
0;8;96;0;0;1;60;4096;16777216;write;62.43053;55660.0;891.55096
0;8;96;0;0;1;60;4096;16777216;write;61.16878;25756.0;421.06448
0;16;768;1;1;1;60;1024;16777216;write;63.30667;67171.0;1061.04151
0;32;1536;1;0;1;60;1024;16777216;write;74.03279;75806.0;1023.95162
0;32;1536;1;1;1;60;512;16777216;write;83.1847;10705.0;128.68953
0;32;768;1;0;1;60;8192;16777216;write;74.25014;62840.0;846.32841
0;16;384;1;0;1;60;8192;16777216;write;67.57454;42496.0;628.87594
0;8;384;1;0;1;60;4096;16777216;write;68.01202;32584.0;479.09178
0;8;192;0;0;1;60;8192;16777216;write;61.42758;82576.0;1344.28215
0;16;384;1;0;1;60;128;16777216;write;63.71021;1381.625;21.68608
0;32;1536;0;0;1;60;128;16777216;write;61.12707;20377.75;333.36706
0;8;96;0;0;1;60;4096;16777216;write;61.13213;47220.0;772.42526
0;32;384;1;1;1;60;512;16777216;write;64.06239;5391.0;84.15234
0;32;1536;0;0;1;60;1024;16777216;write;61.22746;391054.0;6386.90542
0;8;96;1;0;1;60;512;16777216;write;63.55073;4926.0;77.51287
0;16;192;1;1;1;60;128;16777216;write;63.61745;950.0;14.93301
0;8;96;0;0;1;60;8192;16777216;write;60.52688;87096.0;1438.964
0;32;768;1;0;1;60;8192;16777216;write;64.35822;68448.0;1063.54717
0;8;384;1;0;1;60;4096;16777216;write;64.54228;36144.0;560.00501
0;32;1536;1;0;1;60;1024;16777216;write;77.86736;48412.0;621.72394
0;8;96;1;1;1;60;6144;16777216;write;61.40185;40500.0;659.58927
0;8;96;1;1;1;60;32;16777216;write;60.5425;475.78125;7.85863
0;16;192;1;0;1;60;32;16777216;write;60.5742;2418.4375;39.92521
0;32;384;1;1;1;60;4096;16777216;write;61.38304;114020.0;1857.51631
0;32;1536;1;1;1;60;512;16777216;write;74.38701;9668.5;129.97565
0;8;192;1;1;1;60;1024;16777216;write;62.21641;62345.0;1002.0668
0;32;1536;1;0;1;60;1024;16777216;write;72.35151;52284.0;722.63867
0;8;192;1;1;1;60;1024;16777216;write;60.91119;45907.0;753.671
0;16;768;1;1;1;60;1024;16777216;write;64.23644;46599.0;725.42942
0;8;192;1;1;1;60;8192;16777216;write;61.97089;39944.0;644.56073
0;32;1536;1;0;1;60;4096;16777216;write;72.61718;59400.0;817.98828
0;16;768;1;1;1;60;1024;16777216;write;64.80619;44263.0;683.00579
0;32;768;1;0;1;60;1024;16777216;write;69.29014;47857.0;690.67547
0;16;384;1;0;1;60;8192;16777216;write;62.6501;48080.0;767.43687
0;16;768;1;0;1;60;1024;16777216;write;68.29027;41584.0;608.93008
0;16;768;0;0;1;60;128;16777216;write;60.71733;48924.25;805.77074
0;16;384;1;0;1;60;128;16777216;write;65.72704;1089.375;16.57423
0;32;1536;0;0;1;60;1024;16777216;write;60.4813;386130.0;6384.28731
0;8;96;1;1;1;60;32;16777216;write;64.50414;180.96875;2.80554
0;16;384;1;0;1;60;8192;16777216;write;66.95872;16912.0;252.57353
0;32;1536;1;1;1;60;512;16777216;write;75.16475;10544.0;140.27852
0;16;768;0;0;1;60;128;16777216;write;62.23986;19462.0;312.69349
0;32;1536;1;0;1;60;4096;16777216;write;75.22405;70040.0;931.08517
0;32;384;1;1;1;60;512;16777216;write;64.02549;11281.5;176.20327
0;32;384;1;1;1;60;4096;16777216;write;62.27345;76624.0;1230.44416
0;8;96;0;0;1;60;8192;16777216;write;61.75709;84136.0;1362.36982
0;32;768;1;0;1;60;8192;16777216;write;67.94628;68376.0;1006.32439
0;16;192;1;0;1;60;32;16777216;write;61.27364;2208.71875;36.0468
0;16;768;1;0;1;60;1024;16777216;write;64.71922;61483.0;949.99604
0;16;768;1;0;1;60;1024;16777216;write;66.61865;53080.0;796.77385
0;16;192;1;0;1;60;32;16777216;write;61.76561;1365.53125;22.10828
0;16;768;0;0;1;60;128;16777216;write;60.71497;17150.125;282.46948
0;32;384;1;1;1;60;4096;16777216;write;61.47579;80928.0;1316.4207
0;8;96;0;0;1;60;4096;16777216;write;60.63448;92328.0;1522.69807
0;8;96;1;1;1;60;32;16777216;write;61.52242;619.53125;10.07001
0;8;192;1;1;1;60;8192;16777216;write;61.7838;55008.0;890.33042
