forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
4;32;1536;1;0;1;60;1024;16777216;write;60.55545;79010.0;1304.75459
4;8;96;0;0;1;60;4096;16777216;write;60.40199;84408.0;1397.43744
1;8;192;1;1;1;60;8192;16777216;write;62.02848;20848.0;336.10366
8;32;384;1;1;1;60;4096;16777216;write;61.80511;152016.0;2459.60237
2;32;384;1;1;1;60;512;16777216;write;60.7963;13847.5;227.76878
2;32;1536;0;0;1;60;128;16777216;write;62.33043;1909.625;30.63712
4;16;768;0;0;1;60;128;16777216;write;61.54232;5393.75;87.64294
1;8;384;1;0;1;60;4096;16777216;write;65.22252;19108.0;292.96631
1;32;1536;1;0;1;60;4096;16777216;write;61.47535;24580.0;399.83506
4;8;192;1;1;1;60;1024;16777216;write;60.33189;79846.0;1323.44612
4;16;768;0;0;1;60;128;16777216;write;61.17737;3565.75;58.28545
8;8;96;1;1;1;60;32;16777216;write;60.4082;848.03125;14.03835
1;16;384;1;0;1;60;8192;16777216;write;63.08113;22840.0;362.07342
2;16;768;1;1;1;60;1024;16777216;write;60.76579;46841.0;770.84485
1;16;384;1;0;1;60;128;16777216;write;62.35275;922.875;14.80087
4;32;1536;0;0;1;60;1024;16777216;write;60.59566;73595.0;1214.52599
4;32;768;1;0;1;60;8192;16777216;write;63.59754;58288.0;916.5134
8;32;768;1;0;1;60;1024;16777216;write;60.5769;97181.0;1604.25831
8;8;96;0;0;1;60;4096;16777216;write;60.86715;73388.0;1205.70789
4;8;96;0;0;1;60;8192;16777216;write;60.92757;52488.0;861.48197
1;16;192;1;1;1;60;128;16777216;write;60.97862;867.25;14.2222
2;32;1536;0;0;1;60;128;16777216;write;62.13738;3876.5;62.38596
1;8;384;1;0;1;60;4096;16777216;write;62.9236;21704.0;344.92621
1;8;384;1;0;1;60;4096;16777216;write;62.26327;21996.0;353.27406
1;32;1536;1;1;1;60;512;16777216;write;66.60402;5291.0;79.43965
1;32;1536;1;1;1;60;512;16777216;write;62.07645;4562.0;73.49003
1;8;192;1;1;1;60;1024;16777216;write;60.37212;23476.0;388.855
1;8;192;1;1;1;60;1024;16777216;write;60.1516;23336.0;387.95311
8;8;96;1;1;1;60;6144;16777216;write;60.31694;103350.0;1713.44889
8;8;96;1;1;1;60;6144;16777216;write;60.58333;105228.0;1736.91342
1;32;768;1;0;1;60;1024;16777216;write;62.6524;15082.0;240.72502
1;32;768;1;0;1;60;1024;16777216;write;61.79657;11325.0;183.2626
8;16;768;1;0;1;60;1024;16777216;write;60.52707;107617.0;1777.99789
8;16;768;1;0;1;60;1024;16777216;write;60.4928;148530.0;2455.33365
4;16;384;1;0;1;60;128;16777216;write;61.18507;2527.375;41.30706
4;16;384;1;0;1;60;128;16777216;write;60.48357;3519.25;58.18523
8;8;96;0;0;1;60;8192;16777216;write;60.89687;90384.0;1484.21426
8;8;96;0;0;1;60;8192;16777216;write;60.5193;101880.0;1683.42997
1;8;96;1;1;1;60;6144;16777216;write;61.32289;20148.0;328.55596
1;8;96;1;1;1;60;6144;16777216;write;61.19974;26664.0;435.68813
2;8;96;0;0;1;60;4096;16777216;write;60.73098;55768.0;918.27921
2;8;96;0;0;1;60;4096;16777216;write;60.54273;42768.0;706.41016
8;8;96;1;0;1;60;512;16777216;write;60.1793;29136.0;484.15323
8;8;96;1;0;1;60;512;16777216;write;60.83691;18526.5;304.5273
2;16;192;1;0;1;60;32;16777216;write;60.78785;514.59375;8.46541
2;16;192;1;0;1;60;32;16777216;write;60.24942;805.5625;13.37046
1;8;96;0;0;1;60;8192;16777216;write;60.762;29512.0;485.69829
1;8;96;0;0;1;60;8192;16777216;write;62.86666;15032.0;239.10926
1;32;1536;0;0;1;60;128;16777216;write;61.73942;1535.75;24.87471
1;32;1536;0;0;1;60;128;16777216;write;69.30857;952.875;13.7483
8;32;1536;1;0;1;60;1024;16777216;write;60.9492;105937.0;1738.11954
8;32;1536;1;0;1;60;1024;16777216;write;60.53901;118753.0;1961.59483
8;8;384;1;0;1;60;4096;16777216;write;62.01115;97520.0;1572.6205
8;8;384;1;0;1;60;4096;16777216;write;60.99537;112244.0;1840.20526
8;16;192;1;1;1;60;128;16777216;write;61.87033;3058.5;49.43403
8;16;192;1;1;1;60;128;16777216;write;63.62759;4767.875;74.93408
4;32;1536;1;0;1;60;1024;16777216;write;60.8551;79747.0;1310.44064
4;32;1536;1;0;1;60;1024;16777216;write;60.51022;91823.0;1517.4792
2;32;768;1;0;1;60;1024;16777216;write;60.98395;32386.0;531.05774
2;16;384;1;0;1;60;128;16777216;write;61.30128;1640.375;26.75923
2;16;384;1;0;1;60;128;16777216;write;61.63417;1284.0;20.8326
4;16;768;1;1;1;60;1024;16777216;write;60.26516;88168.0;1463.00111
4;16;768;1;1;1;60;1024;16777216;write;60.44336;89646.0;1483.14067
2;32;1536;1;1;1;60;512;16777216;write;62.66003;9799.5;156.39157
2;32;1536;1;1;1;60;512;16777216;write;62.2785;15441.5;247.94271
4;32;1536;1;1;1;60;512;16777216;write;61.89033;19501.5;315.09771
4;32;1536;1;1;1;60;512;16777216;write;61.1886;28072.5;458.78645
4;16;192;1;1;1;60;128;16777216;write;60.32261;4147.875;68.76154
4;16;192;1;1;1;60;128;16777216;write;60.26764;6318.75;104.84482
1;32;768;1;0;1;60;8192;16777216;write;64.4851;24152.0;374.53614
1;32;768;1;0;1;60;8192;16777216;write;69.8215;29664.0;424.85479
4;8;96;1;1;1;60;6144;16777216;write;60.28717;56688.0;940.29954
8;32;1536;0;0;1;60;128;16777216;write;62.23209;9524.375;153.04605
4;8;384;1;0;1;60;4096;16777216;write;60.66318;67288.0;1109.20655
8;8;192;1;1;1;60;1024;16777216;write;60.67708;107896.0;1778.2003
4;16;384;1;0;1;60;128;16777216;write;60.32346;8544.25;141.64057
2;8;192;0;0;1;60;8192;16777216;write;61.49869;37936.0;616.85865
2;8;192;1;1;1;60;1024;16777216;write;60.24631;38729.0;642.84431
1;32;1536;1;0;1;60;1024;16777216;write;61.27606;22889.0;373.53901
4;8;192;1;1;1;60;8192;16777216;write;60.79447;66904.0;1100.4949
2;32;1536;0;0;1;60;1024;16777216;write;62.45529;45322.0;725.67116
4;16;192;1;1;1;60;128;16777216;write;60.39533;6595.0;109.19718
2;32;384;1;1;1;60;512;16777216;write;60.72875;9187.5;151.28749
8;32;384;1;1;1;60;512;16777216;write;61.02186;26184.5;429.1003
2;32;384;1;1;1;60;4096;16777216;write;62.0441;58440.0;941.91071
2;8;384;1;0;1;60;4096;16777216;write;62.05674;51096.0;823.37548
8;32;768;1;0;1;60;8192;16777216;write;63.56741;87512.0;1376.68018
2;8;96;0;0;1;60;8192;16777216;write;61.72232;25240.0;408.92822
4;32;1536;1;0;1;60;4096;16777216;write;63.75212;50700.0;795.26767
1;32;1536;0;0;1;60;1024;16777216;write;63.33989;14033.0;221.55074
1;16;192;1;1;1;60;128;16777216;write;61.22414;1698.125;27.7362
1;16;768;1;1;1;60;1024;16777216;write;60.4121;12138.0;200.92001
8;8;192;0;0;1;60;8192;16777216;write;61.04018;87328.0;1430.6641
4;8;96;1;1;1;60;6144;16777216;write;60.59155;30366.0;501.15896
4;8;96;0;0;1;60;4096;16777216;write;60.24193;63072.0;1046.97833
1;32;384;1;1;1;60;512;16777216;write;60.50373;3294.5;54.45119
4;16;768;1;0;1;60;1024;16777216;write;60.7181;46319.0;762.85322
8;32;384;1;1;1;60;4096;16777216;write;60.70052;97696.0;1609.47539
8;16;768;1;1;1;60;1024;16777216;write;60.55156;111651.0;1843.89962
2;8;96;1;1;1;60;6144;16777216;write;60.45712;47394.0;783.9275
2;8;96;1;0;1;60;512;16777216;write;60.43013;9812.5;162.37761
1;8;96;1;0;1;60;512;16777216;write;60.27174;8424.5;139.77529
4;8;96;1;0;1;60;512;16777216;write;60.52673;19619.5;324.14603
1;8;192;0;0;1;60;8192;16777216;write;61.0315;31528.0;516.58566
2;16;192;1;0;1;60;32;16777216;write;60.46312;1498.9375;24.79094
4;32;384;1;1;1;60;512;16777216;write;60.43347;22430.5;371.16021
8;8;192;1;1;1;60;8192;16777216;write;61.60318;105824.0;1717.8335
2;8;96;0;0;1;60;8192;16777216;write;60.83569;52480.0;862.65147
1;8;96;1;0;1;60;512;16777216;write;60.727;3501.5;57.65969
2;32;384;1;1;1;60;4096;16777216;write;61.26181;35140.0;573.60368
2;32;768;1;0;1;60;8192;16777216;write;67.0239;33896.0;505.73006
1;32;768;1;0;1;60;1024;16777216;write;62.00236;13878.0;223.8302
8;32;1536;1;1;1;60;512;16777216;write;61.22916;32728.0;534.51652
2;32;768;1;0;1;60;1024;16777216;write;60.80215;36160.0;594.71583
2;8;96;1;1;1;60;32;16777216;write;60.2997;444.65625;7.3741
4;8;96;1;1;1;60;6144;16777216;write;61.03235;83724.0;1371.79705
2;8;96;1;1;1;60;6144;16777216;write;60.38754;49896.0;826.26321
4;32;1536;1;1;1;60;512;16777216;write;61.58845;20695.0;336.02077
1;32;768;1;0;1;60;1024;16777216;write;60.83197;16647.0;273.65543
8;8;96;1;1;1;60;32;16777216;write;60.32873;1178.71875;19.53827
1;8;384;1;0;1;60;4096;16777216;write;61.07178;24632.0;403.32868
2;8;96;1;0;1;60;512;16777216;write;60.29489;11072.0;183.63083
2;16;192;1;1;1;60;128;16777216;write;60.80628;2483.625;40.84488
1;8;192;0;0;1;60;8192;16777216;write;61.97764;27208.0;438.99703
8;8;96;1;1;1;60;32;16777216;write;60.10357;1768.125;29.41797
4;32;1536;0;0;1;60;128;16777216;write;63.36732;2806.875;44.29531
4;32;1536;0;0;1;60;1024;16777216;write;60.73465;80248.0;1321.28869
8;8;192;1;1;1;60;1024;16777216;write;60.27737;112985.0;1874.4183
1;8;96;1;0;1;60;512;16777216;write;60.28419;2829.5;46.93602
4;8;192;1;1;1;60;1024;16777216;write;60.20411;51687.0;858.52939
1;8;96;0;0;1;60;4096;16777216;write;60.82766;16268.0;267.44411
2;8;192;1;1;1;60;8192;16777216;write;61.38348;27568.0;449.11107
8;16;768;1;1;1;60;1024;16777216;write;60.75326;109276.0;1798.6854
2;32;384;1;1;1;60;512;16777216;write;61.2427;9118.0;148.88304
1;32;1536;0;0;1;60;1024;16777216;write;62.22219;19856.0;319.11443
4;8;192;1;1;1;60;1024;16777216;write;60.1017;85944.0;1429.97614
8;8;192;0;0;1;60;8192;16777216;write;60.7381;128320.0;2112.67724
2;8;192;0;0;1;60;8192;16777216;write;61.52004;38424.0;624.57698
4;16;384;1;0;1;60;8192;16777216;write;61.90079;68272.0;1102.92617
4;16;192;1;1;1;60;128;16777216;write;61.59539;1973.75;32.04379
8;16;384;1;0;1;60;128;16777216;write;60.7623;5967.0;98.20234
2;16;384;1;0;1;60;8192;16777216;write;63.44049;42000.0;662.03779
2;16;384;1;0;1;60;128;16777216;write;62.83943;1461.5;23.25769
2;32;1536;1;0;1;60;4096;16777216;write;63.56326;48536.0;763.58578
8;32;1536;0;0;1;60;1024;16777216;write;60.33172;126107.0;2090.22715
4;8;192;1;1;1;60;8192;16777216;write;61.86711;47392.0;766.029
2;32;384;1;1;1;60;4096;16777216;write;62.01658;28024.0;451.87915
1;8;96;1;1;1;60;6144;16777216;write;61.291;15558.0;253.83825
8;32;384;1;1;1;60;4096;16777216;write;60.99157;91484.0;1499.9449
4;32;1536;1;0;1;60;4096;16777216;write;65.62699;56292.0;857.75688
2;8;96;0;0;1;60;4096;16777216;write;61.31201;31072.0;506.78492
1;8;192;1;1;1;60;8192;16777216;write;63.80993;16464.0;258.01627
4;16;192;1;0;1;60;32;16777216;write;60.2435;1156.59375;19.19865
2;16;768;0;0;1;60;128;16777216;write;62.09368;1582.25;25.48166
8;32;1536;1;0;1;60;1024;16777216;write;61.37176;119315.0;1944.1353
1;32;384;1;1;1;60;4096;16777216;write;60.8707;23848.0;391.78128
1;8;96;1;1;1;60;32;16777216;write;60.38314;389.15625;6.44478
4;16;768;1;1;1;60;1024;16777216;write;60.38399;96946.0;1605.49173
1;8;192;1;1;1;60;1024;16777216;write;60.2002;24422.0;405.67974
4;16;768;0;0;1;60;128;16777216;write;62.29023;2591.375;41.60163
2;16;768;1;0;1;60;1024;16777216;write;60.92263;24064.0;394.99279
8;32;768;1;0;1;60;1024;16777216;write;60.48428;132124.0;2184.43521
2;8;384;1;0;1;60;4096;16777216;write;61.51685;37192.0;604.58232
8;8;96;1;1;1;60;6144;16777216;write;60.47324;76308.0;1261.84747
1;16;768;1;0;1;60;1024;16777216;write;60.99944;12097.0;198.3133
1;16;192;1;1;1;60;128;16777216;write;60.50333;1022.25;16.89576
8;16;768;1;1;1;60;1024;16777216;write;60.71859;108998.0;1795.13402
1;16;768;0;0;1;60;128;16777216;write;62.66568;1042.0;16.62792
4;8;96;0;0;1;60;8192;16777216;write;60.54706;41792.0;690.24
8;32;1536;0;0;1;60;128;16777216;write;60.84781;4905.5;80.61918
1;16;384;1;0;1;60;128;16777216;write;60.80102;568.75;9.35428
8;8;192;0;0;1;60;8192;16777216;write;61.06483;84432.0;1382.66175
2;16;384;1;0;1;60;128;16777216;write;61.8548;1507.875;24.37766
4;32;1536;1;0;1;60;4096;16777216;write;63.45662;62428.0;983.79023
8;8;384;1;0;1;60;4096;16777216;write;61.44985;117904.0;1918.70266
2;16;192;1;0;1;60;32;16777216;write;60.82172;477.25;7.8467
2;8;192;1;1;1;60;1024;16777216;write;60.31668;31080.0;515.28034
2;16;768;0;0;1;60;128;16777216;write;61.67512;1582.125;25.65256
1;8;96;1;1;1;60;6144;16777216;write;61.52931;16392.0;266.4096
8;8;96;1;0;1;60;512;16777216;write;60.80326;16527.5;271.81931
8;8;96;0;0;1;60;8192;16777216;write;60.92353;91112.0;1495.51407
